brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os
ASUS,Missing,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows
acer,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows
DELL,Missing,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
DELL,Insprion,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
DELL,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows
ASUS,Chromebook,Intel,Celeron Dual,N/A,4 GB GB,LPDDR4,0 GB,512 GB,Windows
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
acer,Travelmate,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows
